"setting","family","method_id","method_label","mrts_k","quantile","n_pairs","n_valid_brier","n_valid_quant","mean_delta_brier","median_delta_brier","win_rate_brier","mean_delta_quant","median_delta_quant","win_rate_quant"
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.98,50,50,50,4.86740266363637e-05,3.12028022727276e-05,0.42,0.000205919076587326,0.000202879004317591,0.42
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.99,50,50,50,3.96533000000006e-06,-1.08477613636367e-05,0.5,0.000460890698383007,8.70606969126386e-05,0.44
4,"skew_t_k5_thresh0",4,"Skew-t, K=5",20,0.995,50,50,50,1.56432309090917e-06,-1.05777022727271e-05,0.54,0.000338524723991674,3.4088638082852e-05,0.48
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.9,50,50,50,0.000392560881272727,9.22031727272725e-05,0.42,0.000635306588911684,0.000339820462834428,0.4
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.91,50,50,50,0.000375071857636363,0.000195144488636362,0.34,0.000707761768848125,0.000261464910367493,0.3
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.92,50,50,50,0.000302229079272727,0.000257350713636363,0.36,0.000556666255012677,0.000230785143351731,0.38
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.93,50,50,50,0.000344525139545454,0.000177490045454544,0.4,0.00050218731860439,0.000415980581401021,0.48
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.94,50,50,50,0.000211677951636364,5.05837545454555e-05,0.46,0.000404441644268538,-6.82272784295335e-05,0.52
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.95,50,50,50,0.000254945085727273,0.000253364002272727,0.38,0.000338852331295527,0.000310216001519703,0.44
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.96,50,50,50,0.000143851642272728,4.37365909090898e-05,0.48,-0.000321944943467993,-0.000231417436737769,0.58
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.97,50,50,50,0.000205800344909091,0.000163378536363637,0.44,0.000247534998770376,-0.00020704451870629,0.56
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.98,50,50,50,2.01640596363638e-05,6.46472045454615e-06,0.48,0.000431668967745269,-0.000117282895336829,0.52
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.99,50,50,50,0.000137714237636364,9.41425886363638e-05,0.38,0.00121773900857921,0.000650319287514051,0.42
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",10,0.995,50,50,50,9.42246591818181e-05,3.35093954545456e-05,0.48,0.000765483043264986,0.000425224534603072,0.42
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",15,0.9,50,50,50,0.000438587950545455,0.000330013836363637,0.4,0.000897244323240174,0.000429324038569656,0.32
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",15,0.91,50,50,50,0.000480292243454545,0.000400920427272727,0.36,0.000930608283389054,0.000525651459970744,0.28
4,"t_k5_thresh_q80",5,"t, K=5, q(0.80)",15,0.92,50,50,50,0.000471257205181818,0.000366342588636364,0.34,0.000916427147129069,0.000311737200775153,0.44
