"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"7","2","4",2.69171319379622,10.133847322923,1.56119819279988,1.47446645874283,1.0588224530594,1.28417909383802,0.722077036476969,-0.326132835501878,0.609897240597126,-0.300832514461463,4.63504189147591,4.63504189147591,14.3361450966133,14.2968752778849
4,"8","2","4",2.78702519375216,10.0318747846534,1.53517668122082,1.50607556384869,1.01932248160097,1.23601802404693,0.667748956355997,-0.295592150347411,0.787451846132959,-0.403691939126841,3.31393669192241,4.50151592978135,14.3104508720767,14.2984610787885
4,"9","2","4",2.49531507555445,10.3812837510152,1.5320778736233,1.47472146033648,1.03889304850404,1.03165691168791,0.683596961181064,-0.270168323357603,0.756075693718418,-0.197307106862098,4.86535953256983,4.86535953256983,14.2043007659908,14.1317081674546
4,"10","2","4",3.30348065167275,9.7447658532683,1.54416317926097,1.52278251312115,1.01404052512791,1.32179669280155,0.774159497505132,-0.301597054605078,0.7944789983278,-0.440742016858633,5.16607319067511,5.2399069779773,14.8458790389824,14.8590118020359
4,"1","4","4",2.90047083878634,10.2067017804417,1.67675938507589,1.60607006336546,1.04401384679465,1.35174984484551,0.56658385312497,NA,0.614488433196703,NA,2.50009075858848,5.32154289427048,15.0700934805156,14.9789091529622
4,"2","4","4",2.62325118594906,10.046337300999,1.8098047633492,1.52290721190872,1.18838807065659,1.13655487007754,0.543041919936036,NA,0.550692534271852,NA,3.22110418317965,4.29898583094071,14.7939097927911,14.7423737243646
4,"3","4","4",2.92362457942674,10.399424543502,1.44934819684349,1.48682055155891,0.974796989000369,1.11948300151384,0.486564098676809,NA,0.560872610243997,NA,3.72465720608008,4.55740880058863,14.6367745559415,14.6248477960701
4,"4","4","4",2.7924637430329,9.94707409873388,1.33516908344984,1.37673826609443,0.969806038178543,0.921158029499986,0.564312649102035,NA,0.579918583512142,NA,2.72964637502754,3.82317617568792,13.675485355086,13.6184633185818
4,"5","4","4",3.1158346544335,9.82801391692075,1.6074421746653,1.51676278010691,1.05978482314288,1.13100478970959,0.61142703740759,NA,0.562687520455674,NA,5.25321128497956,5.36041339452089,14.8365379497409,14.817642431913
4,"6","4","4",3.01975041872889,10.0396769365991,1.53728003885303,1.55391469373898,0.989295001229496,1.06532740027215,0.596060135736927,NA,0.618879020077088,NA,4.79262243799645,5.59749860435277,14.6818789776291,14.6719751060463
4,"7","4","4",2.76173413133282,10.1180603674668,1.53073300754064,1.47418652783132,1.03835775096419,1.2544867224442,0.530881050043897,NA,0.471027152138458,NA,4.53993857611366,4.53993857611366,14.3455379603496,14.2968752778849
