"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,2,5,"beta2",-0.00452320035026329,0.00892128978583525,-0.0216427524558541,-0.00461823031437477,0.0128922677513348,0,TRUE,TRUE
7,1,2,5,"lambda",1.05987702103481,0.0731456336590951,0.930810456079061,1.05577165757202,1.21986521590929,3,TRUE,FALSE
7,1,2,5,"rho",0.980675828819942,0.0589739472228308,0.878579470426566,0.977075356313015,1.10445008200711,1,TRUE,TRUE
7,1,2,5,"nu",0.499922584416095,0.0414905004176859,0.424989343950049,0.499900484150554,0.580858106087668,0.5,TRUE,TRUE
7,1,2,5,"gamma",0.917966713396924,0.0190256182305609,0.883778771476834,0.916593804236382,0.955164725805562,0.9,TRUE,TRUE
7,1,2,5,"tau.alpha",4.782735,0.20893308756276,4.25,4.85,5,3,TRUE,FALSE
7,1,2,5,"tau.beta",17.9220688137694,1.04398813088843,15.5665538099603,18.0110997626149,19.7275623335978,8,TRUE,FALSE
7,1,2,5,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,5,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,5,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,2,5,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,2,5,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,2,5,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,3,1,"beta0",11.1053965496707,0.37357237943385,10.2981602277736,11.1264263607179,11.7645490202288,10,TRUE,FALSE
7,1,3,1,"beta1",0.0220741308240613,0.0195504509128943,-0.0158787356248123,0.0217714645910914,0.0608840852100163,0,TRUE,TRUE
7,1,3,1,"beta2",0.045212719986904,0.0196659128848585,0.00703283952323846,0.0452305180904447,0.0834572417746782,0,TRUE,FALSE
7,1,3,1,"lambda",4.30612171738772,0.517454784135303,3.47165120566275,4.25745876098301,5.45638960189584,3,TRUE,FALSE
7,1,3,1,"rho",1.06161748126209,0.119489432869841,0.824938316940773,1.06600828769071,1.29257622867228,1,TRUE,TRUE
7,1,3,1,"nu",0.44147473478997,0.0712960786046947,0.349709466178137,0.424260231761955,0.61749721608359,0.5,TRUE,TRUE
7,1,3,1,"gamma",0.94145439288961,0.0368290921981416,0.860022192699708,0.944709037483475,0.996102084764076,0.9,TRUE,TRUE
7,1,3,1,"tau.alpha",2.839185,0.540822553781245,1.9,2.8,4,3,TRUE,TRUE
7,1,3,1,"tau.beta",14.428220622541,3.00722813802062,9.0750410275032,14.2127323437154,20.8090657119131,8,TRUE,FALSE
7,1,3,1,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,3,1,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,3,1,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,3,1,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,3,1,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
