"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",3,70,0.98,1.36371347324722,1.32874839639503
"brier",3,70,0.99,1.84047092340781,1.70659724026809
"brier",3,70,0.995,2.7029443629952,2.30916657814848
"brier",4,70,0.9,0.477449753232537,0.42161114902747
"brier",4,70,0.91,0.486863887695887,0.428914807794986
"brier",4,70,0.92,0.499081068969464,0.412948194895709
"brier",4,70,0.93,0.513843853649189,0.415220756908545
"brier",4,70,0.94,0.529981225826076,0.450812719737025
"brier",4,70,0.95,0.543268846175153,0.450482071514263
"brier",4,70,0.96,0.565477235425595,0.525355694851763
"brier",4,70,0.97,0.60427252329746,0.537703108031437
"brier",4,70,0.98,0.67388432037094,0.614092205814631
"brier",4,70,0.99,0.993540369612509,0.777487483089184
"brier",4,70,0.995,1.33295400918517,0.905396294186937
"brier",5,70,0.9,0.80500091029539,0.799384883238531
"brier",5,70,0.91,0.81653871388873,0.812668721021408
"brier",5,70,0.92,0.829600341620027,0.828178224510011
"brier",5,70,0.93,0.84673399804455,0.839609706037172
"brier",5,70,0.94,0.865575634594417,0.851527749706831
"brier",5,70,0.95,0.882764595835992,0.852552079197065
"brier",5,70,0.96,0.905973545080251,0.875085097346236
"brier",5,70,0.97,0.934955119200818,0.907505722168991
"brier",5,70,0.98,0.974288914552381,0.914165997841082
"brier",5,70,0.99,1.17884309212255,0.956742954228663
"brier",5,70,0.995,1.48646313879226,1.13724474266012
"quant",1,10,0.9,1,1
"quant",1,10,0.91,1,1
"quant",1,10,0.92,1,1
"quant",1,10,0.93,1,1
"quant",1,10,0.94,1,1
"quant",1,10,0.95,1,1
"quant",1,10,0.96,1,1
"quant",1,10,0.97,1,1
"quant",1,10,0.98,1,1
"quant",1,10,0.99,1,1
"quant",1,10,0.995,1,1
"quant",2,10,0.9,0.993518012029927,0.996025361308769
"quant",2,10,0.91,0.99316254131909,0.99466550600703
"quant",2,10,0.92,0.992249429891519,0.994112001003742
"quant",2,10,0.93,0.990341267363007,0.992927958314928
"quant",2,10,0.94,0.986697464328425,0.991183237359965
"quant",2,10,0.95,0.981203642075489,0.977629042989241
"quant",2,10,0.96,0.972916198219022,0.986331606024455
"quant",2,10,0.97,0.959013541017496,0.976322805224518
"quant",2,10,0.98,0.929986878299496,0.908144598609043
"quant",2,10,0.99,0.811958383058069,0.783743445099414
"quant",2,10,0.995,0.668748951968698,0.641471326429488
"quant",3,10,0.9,1.06034069764816,1.07472714072443
"quant",3,10,0.91,1.06901796479751,1.0854097504304
"quant",3,10,0.92,1.07703812397612,1.09539865637167
"quant",3,10,0.93,1.08394954611148,1.10425344129289
"quant",3,10,0.94,1.08876334601141,1.10943096165548
"quant",3,10,0.95,1.09016805753783,1.09221984650464
"quant",3,10,0.96,1.08669984610145,1.10801639295184
"quant",3,10,0.97,1.07231195356495,1.08909768390191
"quant",3,10,0.98,1.03062277933379,1.02165872688248
"quant",3,10,0.99,0.906044506527132,0.871589038208125
"quant",3,10,0.995,0.723509038334701,0.673215172963102
"quant",4,10,0.9,0.99480739721213,0.995727969560873
"quant",4,10,0.91,0.994540658851898,0.994341370927632
"quant",4,10,0.92,0.993832040339134,0.993616362088969
"quant",4,10,0.93,0.992233660674773,0.992867466052572
"quant",4,10,0.94,0.98877539158669,0.990672952985746
"quant",4,10,0.95,0.982971306020069,0.977011953726866
"quant",4,10,0.96,0.973134503112111,0.985319559972647
"quant",4,10,0.97,0.954488583753143,0.969986969615093
"quant",4,10,0.98,0.917684619329086,0.91316577839531
"quant",4,10,0.99,0.793314867412259,0.78226419336178
"quant",4,10,0.995,0.653846437959488,0.638641814778739
"quant",5,10,0.9,1.05661278812387,1.07592869050038
"quant",5,10,0.91,1.06362977374231,1.08302235405631
"quant",5,10,0.92,1.07007589381415,1.09002846906847
"quant",5,10,0.93,1.07561205655877,1.09651694504591
"quant",5,10,0.94,1.07937627701435,1.0995589048871
"quant",5,10,0.95,1.08010567635572,1.08976127912417
"quant",5,10,0.96,1.07645890350687,1.10675442535917
"quant",5,10,0.97,1.06232074354611,1.08576529471144
"quant",5,10,0.98,1.02095309997912,1.01949886011918
"quant",5,10,0.99,0.895467967915013,0.857430548350642
"quant",5,10,0.995,0.71109709948296,0.668047168352455
"quant",1,20,0.9,1,1
"quant",1,20,0.91,1,1
"quant",1,20,0.92,1,1
"quant",1,20,0.93,1,1
"quant",1,20,0.94,1,1
"quant",1,20,0.95,1,1
"quant",1,20,0.96,1,1
"quant",1,20,0.97,1,1
"quant",1,20,0.98,1,1
"quant",1,20,0.99,1,1
"quant",1,20,0.995,1,1
"quant",2,20,0.9,0.99268385784395,0.9942516053486
"quant",2,20,0.91,0.99224181116221,0.99400967275285
"quant",2,20,0.92,0.99137719769157,0.993702485890291
"quant",2,20,0.93,0.989452173543423,0.992426790800041
"quant",2,20,0.94,0.985853765459372,0.990719421044517
"quant",2,20,0.95,0.980320004303798,0.97725084973429
"quant",2,20,0.96,0.971559165173867,0.985516435777499
"quant",2,20,0.97,0.956655466448062,0.972990740793141
"quant",2,20,0.98,0.926856320024168,0.908084277718394
