"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,4,12,"nu",10,0.646767121082675,0.610013399489901,0.0807593474605644,0.0443671216101452
3,4,15,"nu",10,0.642454857415183,0.622064776885869,0.0696813919046115,0.0421114816501211
3,4,20,"nu",10,0.639693484637248,0.618257303499261,0.0759296629653389,0.0442860863187683
3,4,25,"nu",10,0.648672421667885,0.616435710232753,0.0882944995856979,0.0443552478546381
3,5,0,"nu",10,0.299910358460024,0.242174561525424,0.172228433221217,0.0281458026279465
3,5,3,"nu",10,0.289393869081782,0.242285956399798,0.145832079456599,0.0382616357135925
3,5,5,"nu",10,0.303046457768241,0.248741232610762,0.162444110231846,0.023958500258759
3,5,8,"nu",10,0.332408583178222,0.326853926966999,0.146318721236407,0.0240827221193696
3,5,10,"nu",10,0.284206281165138,0.22856390350844,0.14556023306747,0.0228930295049999
3,5,12,"nu",10,0.328704367414383,0.316647660098123,0.145540170579082,0.0249670634941663
3,5,15,"nu",10,0.291164186242121,0.21099720288576,0.165052339962469,0.0187321637682517
3,5,20,"nu",10,0.417691566670555,0.395563949639714,0.264145279653638,0.0401767709431198
3,5,25,"nu",10,0.327890547829625,0.30789421003183,0.132649158594173,0.033066345949155
3,1,0,"gamma",10,0.984631008610942,0.989496448622243,0.0113263316326503,0.00380845465560627
3,1,3,"gamma",10,0.984646947499065,0.98950609254184,0.0114597431676986,0.00375359883517406
3,1,5,"gamma",10,0.984704420473932,0.98931869629187,0.0110532109268922,0.00384097893065177
3,1,8,"gamma",10,0.984893554434551,0.98979428872561,0.0113389272097616,0.0037524084858029
3,1,10,"gamma",10,0.984836816774976,0.990019945931746,0.0113058053933156,0.003843698186157
3,1,12,"gamma",10,0.98481260967813,0.989769267417557,0.0111239210580847,0.00383273334285902
3,1,15,"gamma",10,0.984823883633101,0.989498778605443,0.0112164648530031,0.00399515852199651
3,1,20,"gamma",10,0.984936546956141,0.989588282564817,0.0113773021317088,0.00385088084873862
3,1,25,"gamma",10,0.98487962674511,0.989241913975428,0.0113730151648105,0.00393280521548278
3,2,0,"gamma",10,0.973852902286353,0.976077090432115,0.0062068821702542,0.00453939263493297
3,2,3,"gamma",10,0.973687995255219,0.975758188081832,0.00634415403851809,0.00460558856335651
3,2,5,"gamma",10,0.973632239388501,0.976264089667517,0.00605263663156441,0.0045012211920055
3,2,8,"gamma",10,0.97395290182289,0.976597016039372,0.00616841397283003,0.00451762810232103
3,2,10,"gamma",10,0.973660255082155,0.976282630716715,0.00606001726922213,0.0043454983707
3,2,12,"gamma",10,0.974109224626335,0.976864256236516,0.00610536812290347,0.00421786587453074
3,2,15,"gamma",10,0.973771743607603,0.975422591509881,0.00591239863313284,0.00450942289681184
3,2,20,"gamma",10,0.973994994303706,0.976637201922371,0.00589371523714245,0.00431182660316361
3,2,25,"gamma",10,0.973985715403848,0.97661183389788,0.00604586930334002,0.00431729854284106
3,3,0,"gamma",10,0.977961450190431,0.978044250501193,0.00703095961159687,0.00947901886056943
3,3,3,"gamma",10,0.978178942349722,0.978298408357351,0.00909173025214112,0.00888825270326805
3,3,5,"gamma",10,0.978094433115926,0.979410249788309,0.00962573635918643,0.00974788364361614
3,3,8,"gamma",10,0.978932499033313,0.979389177820667,0.00842387718742021,0.00910698102152042
3,3,10,"gamma",10,0.980000253320897,0.980474295253011,0.00790196511956971,0.00882162869826611
3,3,12,"gamma",10,0.981058037024453,0.982023792926977,0.00635619881488075,0.00921310858172708
3,3,15,"gamma",10,0.98162877351515,0.983072565916089,0.00616850227322204,0.00894672396778692
3,3,20,"gamma",10,0.982072504959887,0.982700090639478,0.00418260581896265,0.00883953896674003
3,3,25,"gamma",10,0.979784563030155,0.97980675847801,0.00643301123640505,0.00856787930871048
3,4,0,"gamma",10,0.969349573851404,0.969175358929536,0.00736141191955771,0.00439138408312838
3,4,3,"gamma",10,0.969393194814324,0.973895094273457,0.0122498178480008,0.00443169252449066
3,4,5,"gamma",10,0.969175280030442,0.971456073664125,0.00699452728814181,0.00451919373108014
3,4,8,"gamma",10,0.969248026063652,0.971426554813811,0.00764366679564718,0.00477756106434769
3,4,10,"gamma",10,0.969908295330763,0.972987143779285,0.00726639416745545,0.00444853711201784
3,4,12,"gamma",10,0.969549611850116,0.970299850034629,0.0068750927779686,0.00447280643936357
3,4,15,"gamma",10,0.971011143915413,0.971365052716158,0.00666409760594267,0.00410306858669689
3,4,20,"gamma",10,0.969018865701752,0.972217249048967,0.0088872638386786,0.00458484796372669
3,4,25,"gamma",10,0.97034927235671,0.972645618077122,0.00699052434674142,0.00434446528534581
3,5,0,"gamma",10,0.943438204604277,0.961347610092717,0.052921279709698,0.0214588194952187
3,5,3,"gamma",10,0.942352695142306,0.969396981652334,0.0571582907638497,0.0246530237374937
3,5,5,"gamma",10,0.922238716198523,0.953766853946885,0.0735084436565571,0.0245485672488559
3,5,8,"gamma",10,0.94618679286184,0.956002526635023,0.0370822721593955,0.0238002111193759
3,5,10,"gamma",10,0.903575546586105,0.951425731868741,0.0884137386364188,0.0267188708394761
3,5,12,"gamma",10,0.940463647975759,0.951097889211176,0.0392867105753896,0.0271968290475701
3,5,15,"gamma",10,0.927228438992971,0.913907164842796,0.038663926507797,0.0285346251300766
3,5,20,"gamma",10,0.828160033387764,0.920471409049543,0.198756712365877,0.0211526440625866
3,5,25,"gamma",10,0.853880949805766,0.92179038240035,0.172531704696489,0.0265183342639846
3,2,0,"lambda",10,0.579201580401749,0.523883491159534,0.256883778531024,0.254812487032949
3,2,3,"lambda",10,0.586333363154437,0.530660902021357,0.262122678701311,0.253725921669678
3,2,5,"lambda",10,0.584880391922976,0.549322543958307,0.253843083496873,0.253217218575715
3,2,8,"lambda",10,0.578718039010945,0.524917067768543,0.258094503461202,0.256156356328155
3,2,10,"lambda",10,0.58999031492481,0.531162664448904,0.273697977996522,0.250911233483996
3,2,12,"lambda",10,0.567551686225294,0.489348588312496,0.271541359805916,0.248945713742238
3,2,15,"lambda",10,0.576911104908226,0.505436836230562,0.262768868793066,0.253086878267482
